X	Y	T	NASA ERBE ALL clear-sky albedo
degree_east	degree_north	months since 1960-01-01	percent
    216.2500    	    68.75000    	    322.5000    	    50.30000    
    218.7500    	    68.75000    	    322.5000    	    49.70000    
    221.2500    	    68.75000    	    322.5000    	    50.10000    
    223.7500    	    68.75000    	    322.5000    	    56.40000    
    226.2500    	    68.75000    	    322.5000    	    55.90000    
    228.7500    	    68.75000    	    322.5000    	    56.50000    
    231.2500    	    68.75000    	    322.5000    	    57.20000    
    233.7500    	    68.75000    	    322.5000    	    61.20000    
    236.2500    	    68.75000    	    322.5000    	    62.40000    
    238.7500    	    68.75000    	    322.5000    	    64.00000    
    241.2500    	    68.75000    	    322.5000    	    67.80000    
    243.7500    	    68.75000    	    322.5000    	    67.60000    
    246.2500    	    68.75000    	    322.5000    	    67.70000    
    248.7500    	    68.75000    	    322.5000    	    67.80000    
    251.2500    	    68.75000    	    322.5000    	    68.70000    
    253.7500    	    68.75000    	    322.5000    	    63.80000    
    256.2500    	    68.75000    	    322.5000    	    71.00000    
    258.7500    	    68.75000    	    322.5000    	    67.20000    
    261.2500    	    68.75000    	    322.5000    	    64.90000    
    263.7500    	    68.75000    	    322.5000    	    70.70000    
    266.2500    	    68.75000    	    322.5000    	    70.60000    
    268.7500    	    68.75000    	    322.5000    	    70.10000    
    276.2500    	    68.75000    	    322.5000    	    69.40000    
    278.7500    	    68.75000    	    322.5000    	    56.30000    
    286.2500    	    68.75000    	    322.5000    	    65.80000    
    288.7500    	    68.75000    	    322.5000    	    71.30000    
    291.2500    	    68.75000    	    322.5000    	    69.50000    
    293.7500    	    68.75000    	    322.5000    	    71.60000    
    308.7500    	    68.75000    	    322.5000    	    53.40000    
    311.2500    	    68.75000    	    322.5000    	    71.40000    
    313.7500    	    68.75000    	    322.5000    	    77.70000    
    316.2500    	    68.75000    	    322.5000    	    78.70000    
    318.7500    	    68.75000    	    322.5000    	    81.80000    
    321.2500    	    68.75000    	    322.5000    	    83.70000    
    323.7500    	    68.75000    	    322.5000    	    81.90000    
    326.2500    	    68.75000    	    322.5000    	    77.90000    
    328.7500    	    68.75000    	    322.5000    	    65.90000    
    336.2500    	    68.75000    	    322.5000    	    27.50000    
    338.7500    	    68.75000    	    322.5000    	    26.30000    
    341.2500    	    68.75000    	    322.5000    	    28.10000    
    343.7500    	    68.75000    	    322.5000    	    28.80000    
    346.2500    	    68.75000    	    322.5000    	    30.20000    
    348.7500    	    68.75000    	    322.5000    	    29.30000    
    351.2500    	    68.75000    	    322.5000    	    25.00000    
    353.7500    	    68.75000    	    322.5000    	    27.10000    
    356.2500    	    68.75000    	    322.5000    	    27.00000    
    358.7500    	    68.75000    	    322.5000    	    29.40000    
    1.250000    	    66.25000    	    322.5000    	    25.10000    
    3.750000    	    66.25000    	    322.5000    	    24.80000    
    6.250000    	    66.25000    	    322.5000    	    28.10000    
    8.750000    	    66.25000    	    322.5000    	    27.00000    
    11.25000    	    66.25000    	    322.5000    	    28.70000    
    13.75000    	    66.25000    	    322.5000    	    22.90000    
    16.25000    	    66.25000    	    322.5000    	    57.80000    
    21.25000    	    66.25000    	    322.5000    	    23.90000    
    23.75000    	    66.25000    	    322.5000    	    18.60000    
    28.75000    	    66.25000    	    322.5000    	    65.50000    
    31.25000    	    66.25000    	    322.5000    	    62.30000    
    33.75000    	    66.25000    	    322.5000    	    59.70000    
    36.25000    	    66.25000    	    322.5000    	    58.50000    
    38.75000    	    66.25000    	    322.5000    	    25.60000    
    41.25000    	    66.25000    	    322.5000    	    62.40000    
    43.75000    	    66.25000    	    322.5000    	    62.80000    
    46.25000    	    66.25000    	    322.5000    	    64.90000    
    48.75000    	    66.25000    	    322.5000    	    68.50000    
    51.25000    	    66.25000    	    322.5000    	    66.60000    
    53.75000    	    66.25000    	    322.5000    	    65.10000    
    56.25000    	    66.25000    	    322.5000    	    70.00000    
    58.75000    	    66.25000    	    322.5000    	    69.10000    
    61.25000    	    66.25000    	    322.5000    	    67.70000    
    63.75000    	    66.25000    	    322.5000    	    63.20000    
    66.25000    	    66.25000    	    322.5000    	    64.40000    
    68.75000    	    66.25000    	    322.5000    	    66.10000    
    71.25000    	    66.25000    	    322.5000    	    69.70000    
    73.75000    	    66.25000    	    322.5000    	    69.80000    
    76.25000    	    66.25000    	    322.5000    	    70.70000    
    78.75000    	    66.25000    	    322.5000    	    68.40000    
    81.25000    	    66.25000    	    322.5000    	    68.00000    
    83.75000    	    66.25000    	    322.5000    	    66.90000    
    86.25000    	    66.25000    	    322.5000    	    62.80000    
    88.75000    	    66.25000    	    322.5000    	    61.00000    
    91.25000    	    66.25000    	    322.5000    	    65.80000    
    93.75000    	    66.25000    	    322.5000    	    63.30000    
    96.25000    	    66.25000    	    322.5000    	    61.80000    
    98.75000    	    66.25000    	    322.5000    	    59.00000    
    101.2500    	    66.25000    	    322.5000    	    53.20000    
    103.7500    	    66.25000    	    322.5000    	    53.10000    
    106.2500    	    66.25000    	    322.5000    	    51.00000    
    108.7500    	    66.25000    	    322.5000    	    49.40000    
    111.2500    	    66.25000    	    322.5000    	    50.30000    
    113.7500    	    66.25000    	    322.5000    	    48.60000    
    116.2500    	    66.25000    	    322.5000    	    46.40000    
    118.7500    	    66.25000    	    322.5000    	    47.20000    
    121.2500    	    66.25000    	    322.5000    	    47.20000    
    123.7500    	    66.25000    	    322.5000    	    48.60000    
    126.2500    	    66.25000    	    322.5000    	    52.50000    
    128.7500    	    66.25000    	    322.5000    	    56.80000    
    131.2500    	    66.25000    	    322.5000    	    52.50000    
    133.7500    	    66.25000    	    322.5000    	    50.50000    
    136.2500    	    66.25000    	    322.5000    	    53.80000    
    138.7500    	    66.25000    	    322.5000    	    59.90000    
    141.2500    	    66.25000    	    322.5000    	    55.70000    
    143.7500    	    66.25000    	    322.5000    	    56.40000    
    146.2500    	    66.25000    	    322.5000    	    60.00000    
    148.7500    	    66.25000    	    322.5000    	    60.20000    
    151.2500    	    66.25000    	    322.5000    	    59.10000    
    153.7500    	    66.25000    	    322.5000    	    57.50000    
    156.2500    	    66.25000    	    322.5000    	    55.80000    
    158.7500    	    66.25000    	    322.5000    	    58.70000    
    161.2500    	    66.25000    	    322.5000    	    61.80000    
    163.7500    	    66.25000    	    322.5000    	    64.50000    
    166.2500    	    66.25000    	    322.5000    	    67.10000    
    168.7500    	    66.25000    	    322.5000    	    67.90000    
    171.2500    	    66.25000    	    322.5000    	    69.70000    
    173.7500    	    66.25000    	    322.5000    	    67.00000    
    176.2500    	    66.25000    	    322.5000    	    67.70000    
    178.7500    	    66.25000    	    322.5000    	    68.80000    
    181.2500    	    66.25000    	    322.5000    	    58.10000    
    183.7500    	    66.25000    	    322.5000    	    60.00000    
    186.2500    	    66.25000    	    322.5000    	    67.90000    
    188.7500    	    66.25000    	    322.5000    	    60.40000    
    191.2500    	    66.25000    	    322.5000    	    26.70000    
    193.7500    	    66.25000    	    322.5000    	    20.10000    
    196.2500    	    66.25000    	    322.5000    	    52.00000    
    198.7500    	    66.25000    	    322.5000    	    57.30000    
    201.2500    	    66.25000    	    322.5000    	    57.60000    
    203.7500    	    66.25000    	    322.5000    	    53.80000    
    206.2500    	    66.25000    	    322.5000    	    48.30000    
    208.7500    	    66.25000    	    322.5000    	    49.60000    
    211.2500    	    66.25000    	    322.5000    	    48.60000    
    213.7500    	    66.25000    	    322.5000    	    46.00000    
    216.2500    	    66.25000    	    322.5000    	    45.70000    
    218.7500    	    66.25000    	    322.5000    	    45.80000    
    221.2500    	    66.25000    	    322.5000    	    50.10000    
    223.7500    	    66.25000    	    322.5000    	    51.40000    
    226.2500    	    66.25000    	    322.5000    	    52.30000    
    228.7500    	    66.25000    	    322.5000    	    55.40000    
    231.2500    	    66.25000    	    322.5000    	    52.70000    
    233.7500    	    66.25000    	    322.5000    	    50.20000    
    236.2500    	    66.25000    	    322.5000    	    53.00000    
    238.7500    	    66.25000    	    322.5000    	    56.20000    
    241.2500    	    66.25000    	    322.5000    	    58.50000    
    243.7500    	    66.25000    	    322.5000    	    61.10000    
    246.2500    	    66.25000    	    322.5000    	    67.60000    
    248.7500    	    66.25000    	    322.5000    	    71.00000    
    251.2500    	    66.25000    	    322.5000    	    70.00000    
    253.7500    	    66.25000    	    322.5000    	    70.10000    
    256.2500    	    66.25000    	    322.5000    	    70.70000    
    258.7500    	    66.25000    	    322.5000    	    70.60000    
    261.2500    	    66.25000    	    322.5000    	    70.20000    
    263.7500    	    66.25000    	    322.5000    	    70.60000    
    266.2500    	    66.25000    	    322.5000    	    72.90000    
    268.7500    	    66.25000    	    322.5000    	    71.50000    
    271.2500    	    66.25000    	    322.5000    	    69.00000    
    273.7500    	    66.25000    	    322.5000    	    68.00000    
    281.2500    	    66.25000    	    322.5000    	    67.10000    
    283.7500    	    66.25000    	    322.5000    	    64.60000    
    286.2500    	    66.25000    	    322.5000    	    66.20000    
    288.7500    	    66.25000    	    322.5000    	    70.20000    
    291.2500    	    66.25000    	    322.5000    	    71.80000    
    296.2500    	    66.25000    	    322.5000    	    69.80000    
    303.7500    	    66.25000    	    322.5000    	    20.20000    
    306.2500    	    66.25000    	    322.5000    	    20.90000    
    308.7500    	    66.25000    	    322.5000    	    63.80000    
    311.2500    	    66.25000    	    322.5000    	    69.70000    
    313.7500    	    66.25000    	    322.5000    	    75.90000    
    316.2500    	    66.25000    	    322.5000    	    77.10000    
